name,price,rating,quality,review,bed,distance_from_center,room_type,free_cancellation,area,city
1.0,1.0,7.1,1.0,3300.0,1.0,1.9,1.0,0.0,1.0,1.0
2.0,0.0,8.0,2.0,5921.0,2.0,4.6,2.0,0.0,2.0,1.0
3.0,1.0,8.3,2.0,2532.0,2.0,3.4,3.0,0.0,3.0,1.0
4.0,1.0,8.6,3.0,1457.0,3.0,4.2,4.0,0.0,4.0,1.0
5.0,1.0,8.3,2.0,1273.0,1.0,4.1,5.0,0.0,5.0,1.0
6.0,1.0,8.0,2.0,1695.0,2.0,1.3,6.0,0.0,6.0,1.0
7.0,1.0,8.2,2.0,1155.0,2.0,3.9,7.0,0.0,5.0,1.0
8.0,1.0,8.7,3.0,864.0,3.0,1.6,8.0,0.0,7.0,1.0
9.0,1.0,9.1,4.0,1668.0,4.0,4.9,9.0,0.0,8.0,1.0
10.0,1.0,8.9,3.0,1169.0,3.0,2.6,10.0,0.0,9.0,1.0
11.0,0.0,7.3,1.0,11103.0,5.0,2.7,11.0,0.0,9.0,1.0
12.0,1.0,8.0,2.0,1843.0,2.0,3.2,3.0,0.0,1.0,1.0
13.0,1.0,7.4,1.0,2242.0,2.0,2.7,12.0,0.0,9.0,1.0
14.0,1.0,8.1,2.0,2923.0,1.0,2.9,13.0,0.0,1.0,1.0
15.0,1.0,8.1,2.0,1127.0,3.0,3.5,13.0,0.0,10.0,1.0
16.0,1.0,9.2,4.0,480.0,1.0,5.0,14.0,0.0,11.0,1.0
1.0,1.0,7.1,1.0,3300.0,1.0,1.9,1.0,0.0,1.0,1.0
17.0,1.0,4.9,5.0,1206.0,2.0,3.8,6.0,0.0,12.0,1.0
11.0,0.0,7.3,1.0,11103.0,5.0,2.7,11.0,0.0,9.0,1.0
4.0,1.0,8.6,3.0,1457.0,3.0,4.2,4.0,0.0,4.0,1.0
18.0,0.0,7.3,1.0,7379.0,5.0,4.1,15.0,0.0,2.0,1.0
19.0,0.0,7.2,1.0,10599.0,5.0,2.6,16.0,0.0,9.0,1.0
